"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x93c7acc5e4965e76183ba04326eba66e9b7dc2b09d0cc8f90fa3ae072b41bc5c","230462109","1720545540","2024-07-09 17:19:00","0x0a2854fbbd9b3ef66f17d47284e7f899b9509330","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","92.999533","$92.95","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x2432be0b4e5447234d8ac59c73956fb64b32b846e0ae9ee5f709a2af84efdf9a","230478275","1720549594","2024-07-09 18:26:34","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","5.609348","$5.61","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x8f899738598337ea27d7979706f70847c9c6e85f41f0d0b1161ca5fac10688df","230708888","1720607429","2024-07-10 10:30:29","0x70d95587d40a2caf56bd97485ab3eec10bee6336","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","5.746564","$5.74","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x6d299d1b10c45520ea0da1c6183de9bcd70807310b004b75156cc46719208fc6","230923154","1720661154","2024-07-11 01:25:54","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","80.087232","$80.04","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xc8076a2d3a080ce77a20c400969d6fc30c75b3d214696d617d056b91d919162a","231773678","1720874274","2024-07-13 12:37:54","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","8.545411","$8.55","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xdd9d9ceee973c533bb763b4734e074559a6e9354ca0e6d510345163353b2194f","231786358","1720877454","2024-07-13 13:30:54","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","2.869824","$2.87","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x5aeed764ee40807122655ca9167d1927270d19f785856533a39cc468905dc884","231838847","1720890585","2024-07-13 17:09:45","0x70d95587d40a2caf56bd97485ab3eec10bee6336","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","10.509184","$10.51","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x07d3661a552234297bd46c5b620f10932f35cdbaaccf33eb0475d935afdc7238","231936775","1720915122","2024-07-13 23:58:42","0x70d95587d40a2caf56bd97485ab3eec10bee6336","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","62.56392","$62.58","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xc1d00142f93906fd13a7a57225a008ef22892ef72018232983c0bb14e9016ce1","231949336","1720918280","2024-07-14 00:51:20","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","5.590464","$5.59","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xb49ed22519c93da1f8364e464ceb6537fa4c097368f3adf3af2d8382ab184732","232204428","1720982134","2024-07-14 18:35:34","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","69.116922","$69.15","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xdb41456db6ccffc7914e251ab7c31a75f2c6c77b923d5aff55123095e5525fb8","232497710","1721055639","2024-07-15 15:00:39","0x70d95587d40a2caf56bd97485ab3eec10bee6336","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","94.311102","$94.42","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x5ebb9b60c6619dc9077a99be92aa7b3165f4c6e76569c88647cd78e0edc7b638","232499951","1721056203","2024-07-15 15:10:03","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x0a2854fbbd9b3ef66f17d47284e7f899b9509330","6","$6.01","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x13f46b12b8e3ff03c793e67209aa813fcb4d982c8e6a193fa4e4accf72f6c96a","232500476","1721056332","2024-07-15 15:12:12","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","70.01981","$70.10","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x2f31ec4a935f5cd683791950df7a43a9b12132f3ae2adbcd8743f285ad4efd5c","232504450","1721057334","2024-07-15 15:28:54","0x70d95587d40a2caf56bd97485ab3eec10bee6336","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","61.778445","$61.85","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x26e6d270049b8a3c261afad4390441cd402effa51fae0996d6ea5f6f03ae4a37","232509236","1721058536","2024-07-15 15:48:56","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","69.981034","$70.06","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xb79ba25f930891edbdc5035f050d3a42eca3b0ff81ca5bc69989c1361ad4708c","232517190","1721060530","2024-07-15 16:22:10","0x70d95587d40a2caf56bd97485ab3eec10bee6336","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","61.318469","$61.39","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x1ba7c541b3ca577b0a123de590be33024e68e751724a0bcf9e2141371def1e70","232519622","1721061140","2024-07-15 16:32:20","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","47.964014","$48.02","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x87ba687ca9a4b29969d51ce722b778bff6e11ccacfe2907a4809f3cf9ca2764d","232600774","1721081533","2024-07-15 22:12:13","0x70d95587d40a2caf56bd97485ab3eec10bee6336","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","57.95836","$58.02","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xf79350925edca1bb582ce50cc1b61fb591fa1a3508c543f3f46bebde2c80e713","232605373","1721082688","2024-07-15 22:31:28","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","81.40151","$81.50","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x98929bb7b728fd6e1d4bd891ed5e01980b79e170ca48857e1d20e4b4300f0e35","233214121","1721235154","2024-07-17 16:52:34","0x47c031236e19d024b42f8ae6780e44a573170703","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","73.159436","$73.18","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x16757263dedaee2cbe13b9ba01cf97848f4c39a5602edc64f645f6e3d59daf70","233215999","1721235626","2024-07-17 17:00:26","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","66.618854","$66.64","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xc0f90a3ee60b42e29b969690303745c882da94fbec72d707a9cb9fc36add5bed","233230457","1721239254","2024-07-17 18:00:54","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","5.609805","$5.61","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0xfd6974a910df3adfd07f7369188bb5262679041fe7222371a91dc14137ccbb56","233250489","1721244269","2024-07-17 19:24:29","0x70d95587d40a2caf56bd97485ab3eec10bee6336","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","6.545601","$6.55","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
"0x9dca2c18b91164f4225fd95dfc3bf430d5f5d7a2b8f879df94044adf54c492bd","233259152","1721246437","2024-07-17 20:00:37","0x0a8dd68e974c371a6a6efe95cfa22a200eb7afcc","0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5","7.175417","$7.18","0xaf88d065e77c8cc2239327c5edb3a432268e5831","USD Coin","USDC"
